ID_Pelanggan,Isi_Pesan,Label_Masalah
P-682, euy. min mau ganti nama wifi biar ga ketauan orang lain.,Ganti Password
P-364,"kak wifi saya tiba2 gaada koneksi, pas inget blm bayar tagihan mggu lalu, apa di blok?",Belum Bayar Tagihan
P-609," punten min, lagi ada gangguan di server pusat ya?",Gangguan Pusat
P-600,"A naha internet sekomplek mati? Gangguan pusat nya? tolong ya,",Gangguan Pusat
P-638,"Punten min, jaringan lagi down massal ya? Kok ga bisa kabeh. tlong.",Gangguan Pusat
P-771,"A tolong cek jaringan, wifi lemot pisan dari tadi pagi. kak,",Wifi Lemot
P-259,Min mau ubah sandi wifi nih gmn caranya ya tolong dicek ya a,Ganti Password
P-186,A punten ini router lampu nya kedap kedip ga wajar,Router Error
P-368,kak internet terisolasi ya? maaf telat bayar tagihan bulan ini,Belum Bayar Tagihan
P-028,"Ya, udah trimakasih pak",Gangguan Pusat
P-798,"A tolong optimasi jaringan, wifi di rumah lemot banget. min,",Wifi Lemot
P-428,"kak wifi mati total, kyknya blm bayar tagihan bulanan, klo dibayar skrg lgsg nyala?",Belum Bayar Tagihan
P-521,"A router saya error, ganti baru aja bisa ga? min,",Router Error
P-378,min ini wifi mati gara2 nunggak ya? klo lunasin skrg lgsg nyala ga?,Belum Bayar Tagihan
P-241,Punten a kabel internet di luar putus kayaknya lampu merah nyala tolong dicek ya a,Gangguan Pusat
P-364,"Permisi min, bade naros, upami tagihan tos dibayar naha langsung nyambung deui, euy, tolong secepatnya ya",Belum Bayar Tagihan
P-353,"Punten min wifi teu tiasa dianggo, naha bilih teu acan bayar abdi teh?",Belum Bayar Tagihan
P-191,Router nya panas banget a terus internetnya putus putus,Router Error
P-620,"A cek server pusat dong, wifi di rumah ga jalan. mohon bantuannya,",Gangguan Pusat
P-144,A lampu LOS kedap kedip merah wae ieu kumaha? tolong dicek ya a,Internet Mati (LOS)
P-653,Min tolong ganti password wifi saya biar ga dibobol orang.,Ganti Password
P-694,"Min mau ganti password wifi saya a, mohon bantuannya. mohon bantuannya,",Ganti Password
P-653,"Halo min, hoyong ganti nami sareng sandi wifi bumi, teuing, nuhun sateuacana",Ganti Password
P-224,"A minta tolong gantiin password wifi dong, ada yg numpang kayaknya",Ganti Password
P-415,"min internet putus nih, apa krn belom bayar tagihan bulan ini ya?",Belum Bayar Tagihan
P-619," min, min wifi se-rw mati semua, tolong dicek gangguan pusat bukan.",Gangguan Pusat
P-438,"kak wifi di rumah mati, kyknya belom bayar tagihan mggu kmrn, mohon dibantu",Belum Bayar Tagihan
